candidate,,Bennet,Bennet,Bennet,Biden,Biden,Biden,Bloomberg,Bloomberg,Bloomberg,Buttigieg,Buttigieg,Buttigieg,Delaney,Delaney,Delaney,Gabbard,Gabbard,Gabbard,Klobuchar,Klobuchar,Klobuchar,Patrick,Patrick,Patrick,Sanders,Sanders,Sanders,Steyer,Steyer,Steyer,Warren,Warren,Warren,Yang,Yang,Yang,Other,Other,Other,Uncommitted,Uncommitted,Uncommitted
round,,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE,First Expression,Final Expression,SDE
County,Precinct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adair,2NE STUART,0,0,0,6,0,0.0,0,0,0.0,10,15,0.3137,0,0,0,0,0,0.0,9,10,0.1569,0,0,0,10,10,0.2353,7,7,0.1569,0,0,0.0,1,1,0.0,0,0,0.0,0,0,0.0
Adair,1NW ADAIR,0,0,0,6,6,0.0784,0,0,0.0,8,8,0.0784,0,0,0,0,0,0.0,8,8,0.1569,0,0,0,9,9,0.1569,0,0,0.0,9,9,0.1569,0,0,0.0,0,0,0.0,0,0,0.0
Adair,3SW FONTANELLE,0,0,0,9,9,0.1569,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,1,0,0.0,0,0,0,4,7,0.1569,1,0,0.0,4,0,0.0,15,15,0.3922,0,0,0.0,0,0,0.0
Adair,4SE ORIENT,0,0,0,7,7,0.1569,0,0,0.0,6,6,0.1569,0,0,0,0,0,0.0,6,6,0.1569,0,0,0,6,6,0.0784,0,0,0.0,9,9,0.2353,0,0,0.0,0,0,0.0,0,0,0.0
Adair,5GF GREENFIELD,0,0,0,8,0,0.0,0,0,0.0,10,12,0.1569,0,0,0,0,0,0.0,26,32,0.3922,0,0,0,16,21,0.3137,0,0,0.0,6,0,0.0,12,13,0.1569,0,0,0.0,0,0,0.0
Adams,Adams 2,0,0,0,4,4,0.0857,0,0,0.0,3,3,0.0857,0,0,0,0,0,0.0,5,5,0.1714,0,0,0,4,4,0.0857,0,0,0.0,5,5,0.1714,0,0,0.0,0,0,0.0,0,0,0.0
Adams,Adams 5,0,0,0,4,4,0.0857,0,0,0.0,5,5,0.1714,0,0,0,0,0,0.0,3,3,0.0857,0,0,0,3,3,0.0857,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Adams,Adams 4,0,0,0,6,6,0.1714,0,0,0.0,3,3,0.0857,0,0,0,0,0,0.0,4,4,0.1714,0,0,0,2,0,0.0,0,0,0.0,3,5,0.1714,0,0,0.0,0,0,0.0,0,0,0.0
Adams,Adams 1,0,0,0,5,5,0.0857,0,0,0.0,7,7,0.1714,0,0,0,0,0,0.0,5,5,0.1714,0,0,0,7,7,0.1714,0,0,0.0,5,5,0.0857,0,0,0.0,0,0,0.0,0,0,0.0
Adams,Adams 3,0,0,0,11,12,0.3429,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,6,7,0.1714,0,0,0,5,5,0.1714,0,0,0.0,3,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Allamakee,Pct 04 - PV City,0,0,0,7,7,0.1556,0,0,0.0,15,15,0.2333,0,0,0,0,0,0.0,0,0,0.0,0,0,0,6,6,0.0778,0,0,0.0,0,0,0.0,10,10,0.1556,0,0,0.0,0,0,0.0
Allamakee,Pct 10 - Waukon 2,0,0,0,0,0,0.0,0,0,0.0,17,19,0.2333,0,0,0,0,0,0.0,16,17,0.2333,0,0,0,9,10,0.0778,3,0,0.0,12,12,0.1556,4,0,0.0,0,0,0.0,0,0,0.0
Allamakee,Pct 05 - LT/PC/WV City,0,0,0,2,0,0.0,0,0,0.0,5,7,0.0778,0,0,0,1,0,0.0,6,6,0.0778,0,0,0,5,5,0.0778,0,0,0.0,4,5,0.0778,0,0,0.0,0,0,0.0,0,0,0.0
Allamakee,Pct 08 - IA/UC/NA City,0,0,0,6,6,0.0778,0,0,0.0,7,7,0.0778,0,0,0,0,0,0.0,0,0,0.0,0,0,0,6,6,0.0778,9,9,0.0778,9,9,0.0778,0,0,0.0,0,0,0.0,0,0,0.0
Allamakee,Pct 01 - WL/HV,0,0,0,1,0,0.0,0,0,0.0,4,4,0.0778,0,0,0,0,0,0.0,6,7,0.1556,0,0,0,5,5,0.0778,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Allamakee,Pct 07 - CN/LF/LS/LS City,0,0,0,8,0,0.0,0,0,0.0,47,52,0.7,0,0,0,0,0,0.0,16,30,0.3889,0,0,0,16,21,0.3111,6,0,0.0,5,0,0.0,3,0,0.0,0,0,0.0,4,0,0.0
Allamakee,Pct 11 - Waukon 3,1,0,0,8,12,0.2333,0,0,0.0,9,12,0.2333,0,0,0,0,0,0.0,9,9,0.1556,0,0,0,6,7,0.0778,2,0,0.0,0,0,0.0,6,0,0.0,0,0,0.0,0,1,0.0
Allamakee,Pct 09 - Waukon 1,0,0,0,13,13,0.1556,0,0,0.0,21,27,0.3889,0,0,0,0,0,0.0,9,10,0.1556,0,0,0,0,0,0.0,0,0,0.0,7,0,0.0,3,0,0.0,0,0,0.0,0,3,0.0
Allamakee,Pct 03 - PO/FK,0,0,0,4,4,0.1556,0,0,0.0,2,2,0.0778,0,0,0,0,0,0.0,0,0,0.0,0,0,0,1,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Allamakee,Pct 02 - FC/JF/LL/MK/UP,0,0,0,6,0,0.0,0,0,0.0,11,14,0.2333,0,0,0,0,0,0.0,13,18,0.2333,0,0,0,13,13,0.2333,8,0,0.0,11,11,0.1556,9,13,0.2333,0,2,0.0,0,0,0.0
Appanoose,Washington/Wells,0,0,0,6,7,0.24,0,0,0.0,1,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,3,3,0.08,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Appanoose,Union / Udell Township,0,0,0,11,14,0.16,0,0,0.0,3,6,0.08,0,0,0,0,0,0.0,2,0,0.0,0,0,0,4,4,0.08,2,0,0.0,2,0,0.0,1,0,0.0,0,0,0.0,1,2,0.0
Appanoose,Pleasant/Franklin,0,0,0,8,8,0.16,0,0,0.0,10,10,0.16,0,0,0,0,0,0.0,0,0,0.0,0,0,0,3,5,0.08,0,0,0.0,3,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0
Appanoose,Vermillion/Douglas/Sharon,0,0,0,8,8,0.08,0,0,0.0,14,15,0.24,0,0,0,0,0,0.0,4,8,0.16,0,0,0,2,0,0.0,1,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Appanoose,Caldwell Township,0,0,0,1,0,0.0,0,0,0.0,4,7,0.08,0,0,0,0,0,0.0,0,0,0.0,0,0,0,2,0,0.0,3,4,0.08,3,0,0.0,0,0,0.0,0,0,0.0,0,2,0.0
Appanoose,Taylor/Chariton,0,0,0,7,10,0.24,0,0,0.0,10,14,0.24,0,0,0,0,0,0.0,4,0,0.0,0,0,0,0,0,0.0,5,5,0.08,3,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
Appanoose,Bellair/Lincoln,0,0,0,6,6,0.16,0,0,0.0,3,3,0.08,0,0,0,0,0,0.0,2,2,0.08,0,0,0,2,2,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0
